timestamp,success,latency,code,size,fill,annotation
1487016399,0,2.069826ms,404,73,,
1487016400,0,2.268145ms,404,73,,
1487016401,0,1.338959ms,404,73,,
1487016402,0,2.343307ms,404,73,,
1487016403,0,2.275505ms,404,73,,
1487016404,0,2.97124ms,404,73,,
1487016405,0,2.118518ms,404,73,,
1487016406,0,2.9353ms,404,73,,
1487016407,0,2.661962ms,404,73,,
1487016408,0,2.993305ms,404,73,,
1487016409,0,2.125431ms,404,73,,
1487016410,0,3.229418ms,404,73,,
1487016411,0,2.888752ms,404,73,,
1487016412,0,2.455421ms,404,73,,
1487016413,0,2.210324ms,404,73,,
1487016414,0,4.298181ms,404,73,,
1487016415,0,2.165208ms,404,73,,
1487016416,0,2.45677ms,404,73,,
1487016417,0,2.234087ms,404,73,,
1487016418,0,2.23446ms,404,73,,
1487016419,0,2.342022ms,404,73,,
1487016420,0,2.109518ms,404,73,,
1487016421,0,1.317655ms,404,73,,
1487016422,0,2.209047ms,404,73,,
1487016423,0,2.107567ms,404,73,,
1487016424,0,1.924866ms,404,73,,
1487016425,0,1.145545ms,404,73,,
1487016426,0,1.287505ms,404,73,,
1487016427,0,2.365078ms,404,73,,
1487016428,0,2.716289ms,404,73,,
1487016429,0,2.408762ms,404,73,,
1487016430,0,1.222542ms,404,73,,
1487016431,0,1.195184ms,404,73,,
1487016432,0,2.902668ms,404,73,,
1487016433,0,2.880769ms,404,73,,
1487016434,0,2.112449ms,404,73,,
1487016435,0,1.363515ms,404,73,,
1487016436,0,3.098697ms,404,73,,
1487016437,0,2.051952ms,404,73,,
1487016438,0,2.415186ms,404,73,,
1487016439,0,2.008285ms,404,73,,
1487016440,0,2.580564ms,404,73,,
1487016441,0,5.417341ms,404,73,,
1487016442,0,3.039987ms,404,73,,
1487016443,0,2.473186ms,404,73,,
1487016444,0,3.07876ms,404,73,,
1487016445,0,1.557654ms,404,73,,
1487016446,0,2.282774ms,404,73,,
1487016447,0,3.07173ms,404,73,,
1487016448,0,2.327923ms,404,73,,
1487016449,0,2.227419ms,404,73,,
1487016450,0,3.334831ms,404,73,,
1487016451,0,2.167202ms,404,73,,
1487016452,0,3.269828ms,404,73,,
1487016453,0,2.116433ms,404,73,,
1487016454,0,2.245569ms,404,73,,
1487016455,0,3.305672ms,404,73,,
1487016456,0,6.47721ms,404,73,,
